Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,GS,CU,1.96,GRN,375.00,GC19600,,,,,6.70|6.70|4.90,,,G. Sapphire. Cushion. Green 6.7MM,,,
,PS,RD,1.97,PNK,685.00,PR1970,,,,,7.40|7.40|4.20,,,P. Sapphire. Round. Pink 7.40MM,H,,or1970
,SA,PS,1.97,Blue,800.00,SP1970,,SP1970.jpg,,,8.90|6.90|4.50,,,PS Sapphire Gem 8.90x6.90,H,,
,YS,OV,1.98,Yellow,350.00,YC1980,,YC1980.jpg,,,8.00|6.30|4.70,,,OV Y. Sapphire Gem 8.00X6.30,,,yc1980
,RU,OV,2.00,RED,3250.00,RV2002,,RV2002.jpg,,,8.00|5.80|4.70,,,OV Ruby Gem. 8.0-5.8,H,,rv2002
,SA,ST,2.00,BLU,250.00,SSTR201,,,,,8.40|6.70|3.40,,,Sapphire. STAR. Blue,H,,sstr201
,SA,OV,2.00,BLU,0.00,SV20001,,sv20001.jpg,,,7.80|6.80|3.90,,,Sapphire. Oval. Blue 7.8X6.8,H,,
,SA,OV,2.00,BLU,0.00,SV20002,,,,,8.60|6.10|3.90,,,Sapphire. Oval. Blue 8.6X6.1,H,,
,SA,CU,2.00,BLU,1275.00,SC20000,,sc20000.jpg,,,7.30|6.40|4.40,,,Sapphire. Cushion. Blue 7.3X6.4,H,,
,YS,CU,2.02,Yellow,375.00,YC2020,,YC2020.jpg,,,7.90|6.90|4.00,,,CSHN Y. Sapphire Gem. 7.9-6.9,,,yc2020
,SA,OV,2.04,BLU,1600.00,SV20400T,,sv20400t.jpg,,,8.10|5.70|4.60,,,Sapphire. Oval. Blue 8.1X5.7,H,,
,EM,EC,2.04,GRN,1600.00,EE2041SH,,,,,8.50|7.00|4.50,,,Emerald. EC. Green 8.5X7.0,O,,
,YS,RD,2.06,Yellow,325.00,YR20600,,YR20600.jpg,,,6.70|6.70|5.20,,,Y. Sapphire. Round. Yellow 6.7MM,,,
,SA,PS,2.07,BLU,750.00,SP2070,,SP2070.jpg,,,9.20|6.90|4.50,,,PS Sapphire Gem 9.20x6.90,H,,
,SA,PS,2.10,BLU,1500.00,SP21000,,sp21000.jpg,,,9.30|6.90|4.10,,,Sapphire. PS. Blue 9.3X6.9,H,,
,SA,OV,2.11,BLU,0.00,SV21100,,,,,8.10|6.40|4.60,,,Sapphire. Oval. Blue 8.1X6.4,H,,
,GS,OV,2.12,GRN,400.00,GV21200,,,,,8.20|6.00|4.30,,,G. Sapphire. Oval. Green 8.2X6.0,H,,
,SA,HS,2.15,BLU,800.00,SH856755,,SH856755.jpg,,,8.60|6.70|4.80,,,Sapphire. HM. Blue 8.6X6.7,H,,
,SA,OV,2.16,BLU,0.00,SV21601,,,,,8.80|6.40|4.00,,,Sapphire. Oval. Blue 8.8X6.4,H,,
,PS,OV,2.20,PNK,485.00,PV2200,,PV2200.jpg,,,7.60|6.30|5.10,,,OV P. Sapphire Gem. 7.6-6.3,E,,pv2200
